"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B8_10_21_S12-0132_1_BHIrif_-3_24_2","B8","10",21,"S12-0132",1,"BHIrif",-3,"24",2,225,39130432,1120
"B8_10_21_S12-0141_1_BHI_-6_24_1","B8","10",21,"S12-0141",1,"BHI",-6,"24",1,237,5516554240,1163830
"B8_10_24_S12-0116_1_BHIrif_-5_24_1","B8","10",24,"S12-0116",1,"BHIrif",-5,"24",1,19,41715640,109778
"B8_10_24_S12-0116_1_BHIrif_-5_24_2","B8","10",24,"S12-0116",1,"BHIrif",-5,"24",2,19,41715640,109778
"B8_10_24_S12-0132_1_BHIrif_-5_24_1","B8","10",24,"S12-0132",1,"BHIrif",-5,"24",1,111,256707472,115634
"B8_10_24_S12-0116_1_BHI_-6_24_1","B8","10",24,"S12-0116",1,"BHI",-6,"24",1,194,6589415424,1097783
"B8_10_24_S12-0132_1_BHIrif_-5_24_2","B8","10",24,"S12-0132",1,"BHIrif",-5,"24",2,84,194265120,115634
"B8_10_24_S12-0132_1_BHI_-6_24_1","B8","10",24,"S12-0132",1,"BHI",-6,"24",1,102,2358929664,1156338
"B8_10_24_S12-0141_1_BHIrif_-5_24_1","B8","10",24,"S12-0141",1,"BHIrif",-5,"24",1,30,70748400,117914
"B8_10_24_S12-0141_1_BHIrif_-5_24_2","B8","10",24,"S12-0141",1,"BHIrif",-5,"24",2,62,146213360,117914
"B8_10_24_S12-0141_1_BHI_-6_24_1","B8","10",24,"S12-0141",1,"BHI",-6,"24",1,212,12277850112,1179137
"B9_10_0_S12-0166_1_BHI_-3_24_1","B9","10",0,"S12-0166",1,"BHI",-3,"24",1,94,1990920,1059
"B9_10_0_S12-0184_1_BHI_-3_24_1","B9","10",0,"S12-0184",1,"BHI",-3,"24",1,20,410800,1027
"B9_10_0_S12-0180_1_BHI_-3_24_1","B9","10",0,"S12-0180",1,"BHI",-3,"24",1,47,1141160,1214
"B9_10_0_S12-0166_1_BHIrif_-1_36_1","B9","10",0,"S12-0166",1,"BHIrif",-1,"36",1,0,0,11
"B9_10_0_S12-0166_1_BHI_-3_36_1","B9","10",0,"S12-0166",1,"BHI",-3,"36",1,92,1948560,1059
"B9_10_0_S12-0166_1_BHIrif_-1_36_2","B9","10",0,"S12-0166",1,"BHIrif",-1,"36",2,0,0,11
"B9_10_0_S12-0180_1_BHI_-3_36_1","B9","10",0,"S12-0180",1,"BHI",-3,"36",1,57,1383960,1214
"B9_10_0_S12-0180_1_BHIrif_-1_36_2","B9","10",0,"S12-0180",1,"BHIrif",-1,"36",2,1,240,12
"B9_10_0_S12-0180_1_BHIrif_-1_36_1","B9","10",0,"S12-0180",1,"BHIrif",-1,"36",1,0,0,12
